
1,1,br,,,,Brasil
3,2,br,mg,cachoeira.dourada,,Municípios,Cachoeira Dourada
3,2,br,mg,caetanopolis,,Municípios,Caetanópolis
3,2,br,mg,caete,,Municípios,Caeté
3,2,br,mg,caiana,,Municípios,Caiana
3,2,br,mg,cajuri,,Municípios,Cajuri
3,2,br,mg,caldas,,Municípios,Caldas
3,2,br,mg,camacho,,Municípios,Camacho
3,2,br,mg,camanducaia,,Municípios,Camanducaia
3,2,br,mg,cambui,,Municípios,Cambuí
3,2,br,mg,cambuquira,,Municípios,Cambuquira
3,2,br,mg,campanario,,Municípios,Campanário
3,2,br,mg,campanha,,Municípios,Campanha
3,2,br,mg,campestre,,Municípios,Campestre
3,2,br,mg,campina.verde,,Municípios,Campina Verde
3,2,br,mg,campo.azul,,Municípios,Campo Azul
3,2,br,mg,campo.belo,,Municípios,Campo Belo
3,2,br,mg,campo.meio,,Municípios,Campo do Meio
3,2,br,mg,campo.florido,,Municípios,Campo Florido
3,2,br,mg,campos.altos,,Municípios,Campos Altos
3,2,br,mg,campos.gerais,,Municípios,Campos Gerais
3,2,br,mg,cana.verde,,Municípios,Cana Verde
3,2,br,mg,canaa,,Municípios,Canaã
3,2,br,mg,canapolis,,Municípios,Canápolis
3,2,br,mg,candeias,,Municípios,Candeias
3,2,br,mg,cantagalo,,Municípios,Cantagalo
3,2,br,mg,caparao,,Municípios,Caparaó
3,2,br,mg,capela.nova,,Municípios,Capela Nova
3,2,br,mg,capelinha,,Municípios,Capelinha
3,2,br,mg,capetinga,,Municípios,Capetinga
3,2,br,mg,capim.branco,,Municípios,Capim Branco
3,2,br,mg,capinopolis,,Municípios,Capinópolis
3,2,br,mg,capitao.andrade,,Municípios,Capitão Andrade
3,2,br,mg,capitao.eneas,,Municípios,Capitão Enéas
3,2,br,mg,capitolio,,Municípios,Capitólio
3,2,br,mg,caputira,,Municípios,Caputira
3,2,br,mg,carai,,Municípios,Caraí
3,2,br,mg,caranaiba,,Municípios,Caranaíba
3,2,br,mg,carandai,,Municípios,Carandaí
3,2,br,mg,carangola,,Municípios,Carangola
3,2,br,mg,caratinga,,Municípios,Caratinga
3,2,br,mg,carbonita,,Municípios,Carbonita
3,2,br,mg,careacu,,Municípios,Careaçu
3,2,br,mg,carlos.chagas,,Municípios,Carlos Chagas
3,2,br,mg,carmesia,,Municípios,Carmésia
3,2,br,mg,carmo.cachoeira,,Municípios,Carmo da Cachoeira
3,2,br,mg,carmo.mata,,Municípios,Carmo da Mata
3,2,br,mg,carmo.minas,,Municípios,Carmo de Minas
3,2,br,mg,carmo.cajuru,,Municípios,Carmo do Cajuru
3,2,br,mg,carmo.paranaiba,,Municípios,Carmo do Paranaíba
3,2,br,mg,carmo.rio.claro,,Municípios,Carmo do Rio Claro
3,2,br,mg,carmopolis.minas,,Municípios,Carmópolis de Minas
3,2,br,mg,carrancas,,Municípios,Carrancas
3,2,br,mg,carvalhopolis,,Municípios,Carvalhópolis
3,2,br,mg,carvalhos,,Municípios,Carvalhos
3,2,br,mg,casa.grande,,Municípios,Casa Grande
3,2,br,mg,cascalho.rico,,Municípios,Cascalho Rico
3,2,br,mg,cassia,,Municípios,Cássia
3,2,br,mg,cataguases,,Municípios,Cataguases
3,2,br,mg,catas.altas,,Municípios,Catas Altas
3,2,br,mg,catas.altas.noruega,,Municípios,Catas Altas da Noruega
3,2,br,mg,catuji,,Municípios,Catuji
3,2,br,mg,catuti,,Municípios,Catuti
3,2,br,mg,caxambu,,Municípios,Caxambu
3,2,br,mg,cedro.abaete,,Municípios,Cedro do Abaeté
3,2,br,mg,central.minas,,Municípios,Central de Minas
3,2,br,mg,centralina,,Municípios,Centralina
3,2,br,mg,chacara,,Municípios,Chácara
3,2,br,mg,chale,,Municípios,Chalé
3,2,br,mg,chapada.norte,,Municípios,Chapada do Norte
3,2,br,mg,chapada.gaucha,,Municípios,Chapada Gaúcha
3,2,br,mg,chiador,,Municípios,Chiador
3,2,br,mg,cipotanea,,Municípios,Cipotânea
3,2,br,mg,claraval,,Municípios,Claraval
3,2,br,mg,claro.pocoes,,Municípios,Claro dos Poções
3,2,br,mg,claudio,,Municípios,Cláudio
3,2,br,mg,coimbra,,Municípios,Coimbra
3,2,br,mg,coluna,,Municípios,Coluna
3,2,br,mg,comendador.gomes,,Municípios,Comendador Gomes
3,2,br,mg,comercinho,,Municípios,Comercinho
3,2,br,mg,conceicao.aparecida,,Municípios,Conceição da Aparecida
3,2,br,mg,conceicao.barra.minas,,Municípios,Conceição da Barra de Minas
3,2,br,mg,conceicao.alagoas,,Municípios,Conceição das Alagoas
3,2,br,mg,conceicao.pedras,,Municípios,Conceição das Pedras
3,2,br,mg,conceicao.ipanema,,Municípios,Conceição de Ipanema
3,2,br,mg,conceicao.mato.dentro,,Municípios,Conceição do Mato Dentro
3,2,br,mg,conceicao.para,,Municípios,Conceição do Pará
3,2,br,mg,conceicao.rio.verde,,Municípios,Conceição do Rio Verde
3,2,br,mg,conceicao.ouros,,Municípios,Conceição dos Ouros
3,2,br,mg,conego.marinho,,Municípios,Cônego Marinho
3,2,br,mg,confins,,Municípios,Confins
3,2,br,mg,congonhal,,Municípios,Congonhal
3,2,br,mg,congonhas,,Municípios,Congonhas
3,2,br,mg,congonhas.norte,,Municípios,Congonhas do Norte
3,2,br,mg,conquista,,Municípios,Conquista
3,2,br,mg,conselheiro.lafaiete,,Municípios,Conselheiro Lafaiete
3,2,br,mg,conselheiro.pena,,Municípios,Conselheiro Pena
3,2,br,mg,consolacao,,Municípios,Consolação
3,2,br,mg,contagem,,Municípios,Contagem
3,2,br,mg,coqueiral,,Municípios,Coqueiral
3,2,br,mg,coracao.jesus,,Municípios,Coração de Jesus
3,2,br,mg,cordisburgo,,Municípios,Cordisburgo
3,2,br,mg,cordislandia,,Municípios,Cordislândia
3,2,br,mg,corinto,,Municípios,Corinto
3,2,br,mg,coroaci,,Municípios,Coroaci
3,2,br,mg,coromandel,,Municípios,Coromandel
3,2,br,mg,coronel.fabriciano,,Municípios,Coronel Fabriciano
3,2,br,mg,coronel.murta,,Municípios,Coronel Murta
3,2,br,mg,coronel.pacheco,,Municípios,Coronel Pacheco
3,2,br,mg,coronel.xavier.chaves,,Municípios,Coronel Xavier Chaves
3,2,br,mg,corrego.danta,,Municípios,Córrego Danta
3,2,br,mg,corrego.bom.jesus,,Municípios,Córrego do Bom Jesus
3,2,br,mg,corrego.fundo,,Municípios,Córrego Fundo
3,2,br,mg,corrego.novo,,Municípios,Córrego Novo
3,2,br,mg,couto.magalhaes.minas,,Municípios,Couto de Magalhães de Minas
3,2,br,mg,crisolita,,Municípios,Crisólita
3,2,br,mg,cristais,,Municípios,Cristais
3,2,br,mg,cristalia,,Municípios,Cristália
3,2,br,mg,cristiano.otoni,,Municípios,Cristiano Otoni
3,2,br,mg,cristina,,Municípios,Cristina
3,2,br,mg,crucilandia,,Municípios,Crucilândia
3,2,br,mg,cruzeiro.fortaleza,,Municípios,Cruzeiro da Fortaleza
