jurisdicao
br
br;df
br;rs;dom.pedro.alcantara
br;rs;dona.francisca
br;rs;doutor.mauricio.cardoso
br;rs;doutor.ricardo
br;rs;eldorado.sul
br;rs;encantado
br;rs;encruzilhada.sul
br;rs;engenho.velho
br;rs;entre.ijuis
br;rs;entre.rios.sul
br;rs;erebango
br;rs;erechim
br;rs;ernestina
br;rs;erval.grande
br;rs;erval.seco
br;rs;esmeralda
br;rs;esperanca.sul
br;rs;espumoso
br;rs;estacao
br;rs;estancia.velha
br;rs;esteio
br;rs;estrela
br;rs;estrela.velha
br;rs;eugenio.castro
br;rs;fagundes.varela
br;rs;farroupilha
br;rs;faxinal.soturno
br;rs;faxinalzinho
br;rs;fazenda.vilanova
br;rs;feliz
br;rs;flores.cunha
br;rs;floriano.peixoto
br;rs;fontoura.xavier
br;rs;formigueiro
br;rs;forquetinha
br;rs;fortaleza.valos
br;rs;frederico.westphalen
br;rs;garibaldi
br;rs;garruchos
br;rs;gaurama
br;rs;general.camara
br;rs;gentil
br;rs;getulio.vargas
br;rs;girua
br;rs;glorinha
br;rs;gramado
br;rs;gramado.loureiros
br;rs;gramado.xavier
br;rs;gravatai
br;rs;guabiju
br;rs;guaiba
br;rs;guapore
br;rs;guarani.missoes
br;rs;harmonia
br;rs;herval
br;rs;herveiras
br;rs;horizontina
br;rs;hulha.negra
br;rs;humaita
br;rs;ibarama
br;rs;ibiaca
br;rs;ibiraiaras
br;rs;ibirapuita
br;rs;ibiruba
br;rs;igrejinha
br;rs;ijui
br;rs;ilopolis
br;rs;imbe
br;rs;imigrante
br;rs;independencia
br;rs;inhacora
br;rs;ipe
br;rs;ipiranga.sul
br;rs;irai
br;rs;itaara
br;rs;itacurubi
br;rs;itapuca
br;rs;itaqui
br;rs;itati
br;rs;itatiba.sul
br;rs;ivora
br;rs;ivoti
br;rs;jaboticaba
br;rs;jacuizinho
br;rs;jacutinga
br;rs;jaguarao
br;rs;jaguari
br;rs;jaquirana
br;rs;jari
br;rs;joia
br;rs;julio.castilhos
br;rs;lagoa.bonita.sul
br;rs;lagoa.tres.cantos
br;rs;lagoa.vermelha
br;rs;lagoao
br;rs;lajeado
br;rs;lajeado.bugre
br;rs;lavras.sul
br;rs;liberato.salzano
br;rs;lindolfo.collor
br;rs;linha.nova
br;rs;macambara
br;rs;machadinho
br;rs;mampituba
br;rs;manoel.viana
br;rs;maquine
br;rs;marata
br;rs;marau
br;rs;marcelino.ramos
br;rs;mariana.pimentel
br;rs;mariano.moro
br;rs;marques.souza
br;rs;mata
br;rs;mato.castelhano
br;rs;mato.leitao
br;rs;mato.queimado
br;rs;maximiliano.almeida
br;rs;minas.leao
br;rs;miraguai
br;rs;montauri
br;rs;monte.alegre.campos
br;rs;monte.belo.sul
br;rs;montenegro
br;rs;mormaco
br;rs;morrinhos.sul
br;rs;morro.redondo
br;rs;morro.reuter
br;rs;mostardas
br;rs;mucum
br;rs;muitos.capoes
br;rs;muliterno
br;rs;nao.me.toque
br;rs;nicolau.vergueiro
br;rs;nonoai
br;rs;nova.alvorada
br;rs;nova.araca
br;rs;nova.bassano
br;rs;nova.boa.vista
br;rs;nova.brescia
br;rs;nova.candelaria
br;rs;nova.esperanca.sul
