poder,name_lex
exe,secretaria.coordenacao.estagios.tcmsp
exe,secretaria.coordenadoria.recursos.humanos
exe,secretaria.cultura
exe,secretaria.cultura;centro.cultural
exe,secretaria.cultura;centro.cultural.juventude
exe,secretaria.cultura;centro.cultural.sao.paulo
exe,secretaria.cultura;compresp
exe,secretaria.cultura;coordenadoria.sisteam.municipal.bibliotecas
exe,secretaria.cultura;coordenadoria.sistema.municipal.bibliotecas
exe,secretaria.cultura;departamento.arquivo.historico.sao.paulo
exe,secretaria.cultura;departamento.biblioteca.mario.andrade
exe,secretaria.cultura;departamento.expansao.cultural
exe,secretaria.cultura;departamento.patrimonio.historico
exe,secretaria.cultura;empresa.cinema.audiovisual.sao.paulo
exe,secretaria.cultura;fundacao.theatro.municipal
exe,secretaria.cultura;gabinete.secretario
exe,secretaria.cultura;theatro.municipal
exe,secretaria.desenvolvimento.urbano
exe,secretaria.direitos.humanos.cidadania
exe,secretaria.educacao
exe,secretaria.educacao;coordenadoria.dos.nucleos.acao.educativa
exe,secretaria.educacao;diretoria.regional.educacao
exe,secretaria.educacao;gabinete.secretario
exe,secretaria.empresa.cinema.audiovisual.sao.paulo
exe,secretaria.empresa.tecnologia.informacao.comunicacao
exe,secretaria.escola.contas
exe,secretaria.esportes
exe,secretaria.financas.desenvolvimento.economico
exe,secretaria.financas.desenvolvimento.economico;auditoria.geral
exe,secretaria.financas.desenvolvimento.economico;coordenadoria.pmat
exe,secretaria.financas.desenvolvimento.economico;departamento.contadoria
exe,secretaria.financas.desenvolvimento.economico;subsecretaria.receita.municipal
exe,secretaria.financas.desenvolvimento.economico;subsecretaria.tesouro.municipal
exe,secretaria.governo.municipal
exe,secretaria.habitacao
exe,secretaria.habitacao;conselho.municipal.habitacao
exe,secretaria.habitacao;coordenadoria.gestao.atendimento.social
exe,secretaria.habitacao;coordenadoria.gestao.programas
exe,secretaria.habitacao;coordenadoria.regularizacao.fundiaria
exe,secretaria.hospital.servidor.publico.municipal
exe,secretaria.hospital.servidor.publico.municipal;divisao.administrativa
exe,secretaria.hospital.servidor.publico.municipal;gabinete.superintendente
exe,secretaria.infra-estrutura.urbana.obras
exe,secretaria.infra-estrutura.urbana.obras;departamento.controle.uso.vias.publicas
exe,secretaria.infra-estrutura.urbana.obras;departamento.edificacoes
exe,secretaria.infra-estrutura.urbana.obras;departamento.iluminacao.publica
exe,secretaria.infra-estrutura.urbana.obras;gabinete.secretario
exe,secretaria.infra-estrutura.urbana.obras;superintendencia.obras.viarias
exe,secretaria.infra-estrutura.urbana.obras;superintendencia.proj.viarios
exe,secretaria.negocios.juridicos
exe,secretaria.negocios.juridicos;conselho.mun.acidentes.viaturas.municipais
exe,secretaria.negocios.juridicos;departamento.defesa.meio.ambiente.patrimonio
exe,secretaria.negocios.juridicos;departamento.desapropriacoes
exe,secretaria.negocios.juridicos;departamento.fiscal
exe,secretaria.negocios.juridicos;departamento.judicial
exe,secretaria.negocios.juridicos;departamento.procedimentos.disciplinares
exe,secretaria.negocios.juridicos;gabinete.secretario
exe,secretaria.negocios.juridicos;procuradoria.geral.municipio
exe,secretaria.pessoa.deficiencia.mobilidade.reduzida
exe,secretaria.planejamento
exe,secretaria.planejamento;coordenadoria.administracao.financas
exe,secretaria.planejamento;coordenadoria.gestao.bens.servicos
exe,secretaria.planejamento;coordenadoria.gestao.documentos.publicos
exe,secretaria.planejamento;coordenadoria.gestao.pessoas
exe,secretaria.planejamento;coordenadoria.gestao.tecnologia.informacao.comunicacao
exe,secretaria.planejamento;coordenadoria.modernizacao.tecnologia.informacao.comunicacao
exe,secretaria.planejamento;coordenadoria.orcamento
exe,secretaria.planejamento;coordenadoria.planejamento
exe,secretaria.planejamento;coordenadoria.programas.estrategicos
exe,secretaria.planejamento;departamento.gestao.carreiras
exe,secretaria.planejamento;departamento.gestao.patrimonio.imobiliario
exe,secretaria.planejamento;departamento.recursos.humanos
exe,secretaria.planejamento;departamento.desenvolvimento.pessoal
exe,secretaria.planejamento;departamento.procedimentos.disciplinares
exe,secretaria.planejamento;departamento.recursos.humanos
exe,secretaria.planejamento;departamento.saude.servidor
exe,secretaria.planejamento;gabinete.secretaria
exe,secretaria.planejamento;gabinete.secretario
exe,secretaria.politicas.mulheres
exe,secretaria.politicas.mulheres;gabinete.secretaria
exe,secretaria.promocao.igualdade.racial
exe,secretaria.promocao.igualdade.racial;gabinete.secretario
exe,secretaria.relacoes.governamentais
exe,secretaria.relacoes.governamentais;gabinete.secretario.especial
exe,secretaria.relacoes.internacionais.federativas
exe,secretaria.saude
exe,secretaria.saude;asplan
exe,secretaria.saude;autarquia.hospitalar.municipal
exe,secretaria.saude;centro.controle.zoonozes
exe,secretaria.saude;centro.epidemiologia
exe,secretaria.saude;centro.organizacao.atencao.saude
exe,secretaria.saude;centro.recursos.humanos
exe,secretaria.saude;coordenacao.vigilancia.em.saude
exe,secretaria.saude;coordenadoria.regional.saude.centro-oeste
exe,secretaria.saude;coordenadoria.regional.saude.leste
exe,secretaria.saude;coordenadoria.regional.saude.norte
exe,secretaria.saude;coordenadoria.regional.saude.sudeste
exe,secretaria.saude;coordenadoria.regional.saude.sul
exe,secretaria.saude;gabinete.secretario
exe,secretaria.seguranca.urbana
exe,secretaria.seguranca.urbana;coordenadoria.municipal.defesa.civil
exe,secretaria.seguranca.urbana;gabinete.secretario
exe,secretaria.seguranca.urbana;supervisao.geral.juntas.servico.militar
exe,secretaria.servicos
exe,secretaria.servicos;departamento.iluminacao.publica
exe,secretaria.servicos;departamento.limpeza.urbana
exe,secretaria.servicos;gabinete.secretario
exe,secretaria.tesouro.municipal
exe,secretaria.trabalho.empreendedorismo
exe,secretaria.trabalho.empreendedorismo;gabinete.secretario
exe,secretaria.transportes
exe,secretaria.transportes;departamento.operacao.sistema.viario
exe,secretaria.transportes;departamento.transportes.internos
exe,secretaria.transportes;departamento.transportes.publicos
exe,secretaria.transportes;gabinete.secretario
exe,secretaria.verde.meio.ambiente
exe,secretaria.verde.meio.ambiente;departamento.administracao.financas
exe,secretaria.verde.meio.ambiente;departamento.controle.qualidade.ambiental
exe,secretaria.verde.meio.ambiente;departamento.educacao.ambiental.cultura.paz
exe,secretaria.verde.meio.ambiente;departamento.gestao.descentralizada
exe,secretaria.verde.meio.ambiente;departamento.parques.areas.verdes
exe,secretaria.verde.meio.ambiente;departamento.participacao.fomento.politicas.publicas
exe,secretaria.verde.meio.ambiente;departamento.planejamento.ambiental
exe,secretaria.verde.meio.ambiente;gabinete.secretario
exe,secretaria.verde.meio.ambiente
exe,secretaria.verde.meio.ambiente;departamento.administracao.financas
exe,secretaria.verde.meio.ambiente;departamento.controle.qualidade.ambiental
exe,secretaria.verde.meio.ambiente;departamento.educacao.ambiental.cultura.paz
exe,secretaria.verde.meio.ambiente;departamento.gestao.descentralizada
exe,secretaria.verde.meio.ambiente;departamento.parques.areas.verdes
exe,secretaria.verde.meio.ambiente;departamento.participacao.fomento.politicas.publicas
exe,secretaria.verde.meio.ambiente;departamento.planejamento.ambiental
exe,secretaria.verde.meio.ambiente;gabinete
exe,servico.funerario.municipio.sao.paulo
exe,servico.funerario.municipio.sao.paulo;departamento.administracao.financas
exe,servico.funerario.municipio.sao.paulo;departamento.cemiterios
exe,servico.funerario.municipio.sao.paulo;departamento.producao
exe,servico.funerario.municipio.sao.paulo;gabinete.superintendente
jus,tribunal.contas
jus,tribunal.contas;gabinete.presidente
jus,tribunal.contas;coordenacao.estagios.tcmsp
jus,tribunal.contas;coordenadoria.recursos.humanos
jus,tribunal.contas;escola.contas
